Tribe,Label,Institution,State/Area,County,Site,ID,MNI,AFO,Collection History,Age/Culture,AFO,Note
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",BadRiver,Univ. of Pennsylvania Museum of Archaeology and Anthropology,MIchigan,Baraga,Pequaming,Museum Catalogue No. 97-563-10643,1,0,"At an unknown date,
collected by Morgan
Hebard prior to
1921. A part of the
""Morton Collection""
that was
permanently
transferred to
University of
Pennsylvania
Museum of
Archaeology and
Anthropology in
1997, in order to
facillitate the
implementation of
NAGPRA. Cranial
fragment of a male.",Historic/Chippewa,,"originally
inventoried as
culturally
unidentifiable
subsequently
culturally affiliated
with the Bad River
Band of the Lake
Superior Tribe of
Chippewa Indians of
the Bad River
Reservation,
Wisconsin;
Keweenaw Bay
Indian Community;
Lac Courte Oreilles
Band of Lake
Superior Chippewa
Indians of
Wisconsin; Lac
Vieux Desert Band
of Lake Superior
Chippewa Indians of Michigan; Minnesota
Chippewa Tribe,
Minnesota (Leech
Lake Band; Mille
Lacs Band; White
Earth Band); and
Red Cliff Band of
Lake Superior
Chippewa Indians of
Wisconsin."
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",BadRiver,American Museum of Natural History,Minnesota,Lake,Lake Superior vicinity,N/A,4,0,"At an unknown date,
human remains
representing a
minimum of four
individuals were
collected by Frances
Densmore from the
vicinity of Lake
Superior, MN. The
American Museum
of Natural History
purchased the
remains from Miss
Densmore in 1920.",Ojibway/Postcontact.,,
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",BadRiver,Minnesota Historical Society,Minnesota,Itasca,Inger Mound (Site 21 IC 16) also Black Duck site,Catalog #H282,1,0,"In 1977, human remains representing one individual were recovered during legally authorized excavations following bulldozer damage at Inger Mound, Itasca County, MN during a highway survey.",,,
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",BadRiver,"Beloit College, Logan Museum of Anthropology",Wisconsin,Ashland,Marina site (47As24),LMA 7302,2,9,"In 1975 human remains representing a minimum of one individual (""Burial 2"") were removed from the Marina site (47As24), La Pointe Township, Madeline Island, Ashland County, WI by crews from Beloit College directed by Robert J. Salzer under the terms of an agreement between Beloit College and the Interagency Archeological Services branch of the National Park Service. In 1977, workers installing a sewer line removed the remains of another individual from the site (""Burial 12""), along with nine associated copper bracelets.",Lake Superior Ojibwa,copper bracelets,"culturally
affiliated with the
Bad River Band of
Lake Superior
Indians of the Bad
River Reservation,
Wisconsin; Lac
Courte Oreilles
Band of Lake
Superior Chippewa
Indians of
Wisconsin; Lac du
Flambeau Band of
Lake Superior
Chippewa Indians of
the Lac du
Flambeau
Reservation of
Wisconsin; Red Cliff
Band of Lake
Superior Chippewa
Indians of
Wisconsin; St. Croix
Chippewa
Community of
Wisconsin; and
Sokaogon Chippewa
Community,
Wisconsin."
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",BadRiver,"Beloit College, Logan Museum of Anthropology",Wisconsin,Langlade,Pine Point site(47Lg21),LMA 21493W,1,0,"In 1968 or earlier, human remains representing a single individual were recovered during installation of a septic tank with a backhoe at the Pine Point Resort, Pickerel Lake, Ainsworth, Langlade County, WI. No known individual was identified.  No associated funerary objects were noted, althrough the find was recorded as ""Historic Indian"", suggesting funerary objects may have been present. The Pine Point site was surveyed and recored as 47Lg21 (LMA 21493W), in conjunction with the 1968 Wild Rivers Project Site Survey, directed by Dr Rover J. Salzer, Beloit College Professor of Anthropology. The owners of the Pine Point Resort donated the recovered remains to the Logan Museum of Anthropology in 1968.",Ojibwa and Menominee,none,"culturally
affiliated with the
Lake Superior Tribe
of Chippewa Indians
of the Bad River
Reservation,
Wisconsin; Lac
Courte Oreilles
Band of Lake
Superior Chippewa
Indians of
Wisconsin; Lac du
Flambeau Band of
Lake Superior
Chippewa Indians of
the Lac du
Flambeau
Reservation of
Wisconsin;
Menominee Indian
Tribe of Wisconsin;
Red Cliff Band of
Lake Superior Chippewa Indians of
Wisconsin; St. Croix
Chippewa
Community,
Wisconsin; and
Sokaogon Chippewa
Community,
Wisconsin."
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",BadRiver,Rhinelander High School,Wisconsin,Oneida,Lake Nokomis area,N/A,1,0,"In approximately 1969, human remains representing a minimum of one individual were removed from the Lake Nokomis area by an unknown individual","2,500-3,000 yrs old",,"published in FR 3/5/2009 culturally affiliated with the Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Indians, Minnesota; Fond du Lac Band of the Minnesota Chippewa Indians, Minnesota; Grand Portage Band of the Minnesota Chippewa Indians, Minnesota; Keeweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau
Reservation of Wisconsin; Lac Vieux Desert Band
of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Indians, Minnesota; Mille Lacs Band of the Minnesota
Chippewa Indians, Minnesota; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; St. Croix Chippewa Indians of Wisconsin; Sokaogon Chippewa Community, Wisconsin; and White Earth Band of the Minnesota Chippewa Indians, Minnesota."
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",BadRiver,"Wisconsin Historical Society, Museum Division",Wisconsin,Ashland,Madeline Island,Catalog #: 7302.1-5 Accession #: 47 As-24 [73302.1-5],1,1,"Excavated by Robert J. Salzer and Robert A. Birmingham in the 1970s. Collection was at the Logan Museum of Anthropology, Beloit College until 1993 when it was supposedly transferred to the WHS Madeline Island Museum. Logan Museum curators found the reamins in 2008 boxed along with unprocessed soil sampls. Logan Museum transferred the reamins to the WHS, who had clear title to all the collections, including these remains.",,"a soil matrix, which includes with it a textile fragment, trade beads, nail fragments, and metal fragments.","published in the FR 8/24/2010 culturally affiliated with the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin, and Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin."
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",BadRiver,"Wisconsin Historical Society, Museum Division",Wisconsin,Ashland,"Grant's Point Chippewa Cemetery, State Site ID: 47-AS-0012",,2,31,"Excavated by Leland Copper a nd crew from Hamline University during excavations of the Grant's Point area of Madeline Island. Object ID: 2009.35.AS12 C3584-C3588, C3590-C3594,
C3596-3600; 2009.35.AS12 C3589,
C3605-C3608, C3610-C3615; 2009.35.AS12
C3542-C3583; & 2009.35.AS12 C3601-C3604",Ojibwe,"4 brass buttons; 5 silver brooches; collection of glass beads; asemblage of fabric fragments; lead & silver brooch
fragments; lot of hide, fabric, & beaded decoration; basket fragment; silver right; musket ball; 3 gunflint
flakes; fire striker;
tweezers; 2 awl fragments; knife blade; shot & brooch mold; lead fragment; lot of birchbark fragments; lot of wood fragments &
nails; kettle bail; lot
of scrapings from
kettle; brass pail; tin
pan","culturally affiliated with the Bad River Band of the Lake Superior Chippewa Indians of the Bad River Reservation, Wisconsin, and the Red Cliff Band of the Lake Superior Chippewa Indians of Wisconsin"
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",BadRiver,"Wisconsin Historical Society, Museum Division",Wisconsin,Door,Rock Island Site II,None,12,228,Excavated by Lawrence University and Ronald J. and Carol I. Mason in 1969-1973. The remains are under the control of the Wisconsin Historical Society but in the possession of Lawrence University and have been in their possession since excavation; it was only recently determined that they were under the Historical Society's control.,Middle Woodland period to Historic times,"14 lots of wood fragments from coffins, 20 lots of beadsd, 3 smaples of red ochre, 2 spoons, 2 samples of vermillion, 1 polished pebble, 7 brass trade kettles, 3 unidentifiable objects, 1 cut and polished shell, 1 lot of silver brooches, 18 individual brooches, 6 silver brooches attached to a fabric fragment, 10 earrings, 1 bell or cup, 3 pendants, 1 wooden paint box, 1 perforated elk tooth, 1 lot of tinklers, 5 individual tinklers, 1 thimble, 10 lots of textile fragments, 1 silver cross, 4 armbands, 5 knives, 1 weasel skull and mandible, 1 lot of burned faunal remains, 3 firesteels, 2 awls, 1 catlinite pipe, 2 necklaces, 7 Jesuit rings, 2 samples of charred organic materials, 1 musket, 1 French perfume bottle, 6 gunflints, 1 musket ball, 4 pieces of shot, 2 hairpullers, 1 mirror in shards, 1 sheet of folded brass, 1 kettle handle, 1 pipe tomahawk head, 1 lot of nails, 1 lot of bird bone tubes, 1 lot of antler fragments, 2 bells, 8 scraps of brass, 8 pieces of brass wire, 1 piece of cut iron, 1 piece of lead, 2 pieces of worked wood, 3 silver cylinders, 1 embellished antler tine, 1 carved stone, 2 pot sherds, 20 flint chips, 1 bone comb, 2 ear ornaments, 1 hafted iron ax, 1 cup, 1 French pistol, 2 brass bells, 8 bracelets, 1 limestone cobble, and 1 plaque ",Amended inventory received July and Dec 2016. This site is under control of WHS in the possession of Lawrence University. Culturally affiliated with the Tribes in the notice.
Ho-Chunk Nation of Wisconsin,HoChunkNation,Illinois State Museum,Illinois,Cook,Joe Louis site(11CK284),Accession #: ISM 2011-143,1,0,Excavated by Illinois State Archaeological Survey in September 2011 from the right bank of the Little Calumet River. Transferred to the Illinois State Museum in October 2011.,Fisher phase Oneota (A.D. 1000-1400) age/Chiwere-Winnebago culture,none,"culturally affiliated with Ho-Chunk Nation of Wisconsin, Iowa Tribe of Kansas and Nebraska, Iowa Tribe of Oklahoma, Otoe-Missouria Tribe of Indians, Oklahoma, and the Winnebago Tribe of Nebraska."
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Oregon State Univ., Dept. of Anthropology",Illinois,Adams,Unknown,"NE001-092-0001, NE001-093-0001",2,0,"Between 1930 and 1959, human remains representing a minimum of two individuals were removed from unknown sites in Illinois and Indiana, by Dr. Neumann. In 1976, the Oregon State University Department of Anthropology acquired the neumann Collection from Indiana State University.",,none,originally CUI subsequently CA to the Ho-Chunk Nation of Wisconsin and Iowa Tribe of Kansas and Nebraska. Repatriated.
