State,Institution,Name,MNI,AFO,CA,CUI,Geographic Area,County
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,3,0,N/A,1,New Mexico,Catron
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,14,2364,N/A,1,New Mexico,Catron
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,22,712,N/A,1,New Mexico,Grant
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,1,0,N/A,1,Wisconsin,Brown
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,1,0,N/A,1,Wisconsin,Jefferson
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,82,21,N/A,1,Wisconsin,Oneida
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,6,0,N/A,1,Wisconsin,Pierce
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,8,0,N/A,1,Wisconsin,Rock
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,1,1,N/A,1,Wisconsin,Rock
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,1,0,N/A,1,Wisconsin,Rock
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,1,0,N/A,1,Wisconsin,
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,1,0,N/A,1,,
WI,Kenosha Public Museum,KenoshoaPublic,1,0,N/A,1,Wisconsin,Kenosha
WI,Kenosha Public Museum,KenoshoaPublic,3,0,N/A,1,Wisconsin,Kenosha
WI,Kenosha Public Museum,KenoshoaPublic,1,0,N/A,1,,
WI,"Lawrence Univ., Dept. of Anthropology",Lawrence,11,0,N/A,1,Wisconsin,Door
WI,"Lawrence Univ., Dept. of Anthropology",Lawrence,11,0,N/A,1,Wisconsin,Jefferson
WI,"Lawrence Univ., Dept. of Anthropology",Lawrence,15,0,N/A,1,,
WI,"Lawrence Univ., Dept. of Anthropology",Lawrence,8,0,N/A,1,,
WI,"Lawrence Univ., Dept. of Anthropology",Lawrence,17,0,N/A,1,,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Arizona,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Arizona,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Arizona,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Colorado,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,5,0,N/A,1,Florida,Alachua
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Florida,Hernando
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,4,N/A,1,Florida,Lee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,12,0,N/A,1,Florida,Orange
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Florida,Orange
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,12,N/A,1,Florida,Santa Rosa
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Florida,Volusia
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Illinois,Lake
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,5,0,N/A,1,Iowa,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,43,56,N/A,1,Michigan,Menominee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,4,0,N/A,1,New Mexico,Grant
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,New Mexico,Rio Arriba
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,New Mexico,Rio Arriba
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,New Mexico,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,New Mexico,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,28,N/A,1,North Dakota,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Northwest Coast,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,8,N/A,1,Ohio,Ross
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,2,N/A,1,Texas,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Adams
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,2,N/A,1,Wisconsin,Ashland
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,35,26,N/A,1,Wisconsin,Barron
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Brown
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,247,36,N/A,1,Wisconsin,Burnett
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,225,26,N/A,1,Wisconsin,Burnett
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Calumet
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Columbia
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Crawford
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Crawford
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,28,16,N/A,1,Wisconsin,Crawford
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Dodge
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Dodge
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Dodge
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,54,30,N/A,1,Wisconsin,Dodge
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,11,5,N/A,1,Wisconsin,Dodge
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Dodge
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Dodge
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Door
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Door
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,6,3,N/A,1,Wisconsin,FondDuLac
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,FondDuLac
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,FondDuLac
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,1,N/A,1,Wisconsin,FondDuLac
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,FondDuLac
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Forest
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Grant
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,5,0,N/A,1,Wisconsin,Grant
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,22,N/A,1,Wisconsin,Grant
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,12,7,N/A,1,Wisconsin,Grant
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,35,31,N/A,1,Wisconsin,Grant
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,3,N/A,1,Wisconsin,Grant
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,GreenLake
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,18,5,N/A,1,Wisconsin,GreenLake
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,93,17,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,6,1,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,4,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Kewaunee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,5,N/A,1,Wisconsin,LaCrosse
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,LaCrosse
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,16,83,N/A,1,Wisconsin,LaCrosse
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Manitowoc
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Marquette
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,153,3,N/A,1,Wisconsin,Marquette
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,45,17,N/A,1,Wisconsin,Marquette
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Marquette
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Marquette
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Marquette
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Marquette
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Menominee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,7,2,N/A,1,Wisconsin,Menominee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,5,0,N/A,1,Wisconsin,Menominee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,7,0,N/A,1,Wisconsin,Menominee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Menominee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Menominee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,1,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,3,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,2,N/A,1,Wisconsin,Milwaukee
